Virus_name,Host_type,Count,Host_specific,Blurb,Order
unclassified (derived from Siphoviridae),Bacteria,23816,,,0
T4-like viruses,Bacteria,7881,,"Includes Enterobacteria phage T4, which infects E. coli",1
unclassified (derived from Myoviridae),Bacteria,4145,,,3
unclassified (derived from Podoviridae),Bacteria,3648,,,4
N4-like viruses,Bacteria,2560,,"Includes Escherichia phage N4, which infects E. coli",5
T7-like viruses,Bacteria,1699,,"T7 phage infects most strains of E. coli, and is often used in molecular biology and synthetic biology experiments",6
Bpp-1-like viruses,Bacteria,1577,,,7
phiKMV-like viruses,Bacteria,1055,,,8
Lambda-like viruses,Bacteria,867,,Lambda phage infect E. coli and are often used as a scientific experimentation tool,10
unclassified (derived from Caudovirales),Bacteria,812,,,11
Epsilon15-like viruses,Bacteria,483,,This genus contains phages which infect Salmonella and E. coli,12
phiKZ-like viruses,Bacteria,423,,,13
T1-like viruses,Bacteria,324,,,14
P22-like viruses,Bacteria,299,,"Includes Enterobacteria phage P22, which infects Salmonella",15
Phi29-like viruses,Bacteria,290,,,16
P2-like viruses,Bacteria,271,,,17
T5-like viruses,Bacteria,231,,,18
Mu-like viruses,Bacteria,184,,,19
SPO1-like viruses,Bacteria,140,,,21
Phieco32-like viruses,Bacteria,140,,,20
P1-like viruses,Bacteria,123,,,22
N15-like viruses,Bacteria,96,,,25
c2-like viruses,Bacteria,94,,,26
SP6-like viruses,Bacteria,91,,,27
I3-like viruses,Bacteria,83,,,28
L5-like viruses,Bacteria,43,,,31
LUZ24-like viruses,Bacteria,36,,,32
PhiC31-like viruses,Bacteria,32,,,33
SPbeta-like viruses,Bacteria,31,,,34
AHJD-like viruses,Bacteria,26,,,35
Tectivirus,Bacteria,17,,,38
VP2-like phages,Bacteria,7,,,42
Chlamydiamicrovirus,Bacteria,5,,Infects various species of Chlamydia bacteria,45
unclassified (derived from Microviridae),Bacteria,2,,,60
Spiromicrovirus,Bacteria,1,,,68
Microvirus,Bacteria,1,,,64
Alphabaculovirus,Animal,912,"Winged insects, moth larva, mosquitoes, shrimp",,9
unclassified (derived from Poxviridae),Animal,55,,,29
Betapapillomavirus,Animal,51,Humans,"These viruses infect human skin, and are closely associated with the extremely rare disease Epidermodysplasia verruciformis.",30
Polyomavirus,Animal,25,"Mammals and birds, including humans",Most human polyomavirus infections cause little or no symptoms. Diseases caused by these infections are most common among immuno-suppressed individuals.,36
Betaentomopoxvirus,Animal,17,"Butterflies, moths, grasshoppers, katydids, crickets",,37
Iridovirus,Animal,16,Insects,"The name is from the Greek goddess Iris whose sign was the rainbow, referring to the iridescent appearance of infected invertebrates.",39
Ranavirus,Animal,12,"Frogs, snakes, turtles, and fish",,40
Chloriridovirus,Animal,8,Mosquito larvae,,41
Simplexvirus,Animal,6,Humans and mammals,This genus includes the herpes simplex virus species which cause cold sores and genital herpes,44
Cytomegalovirus,Animal,6,Humans,"This virus is related to the viruses that cause chickenpox, herpes simplex and mononucleosis, but rarely causes symptoms in infected people.",43
unclassified (derived from Alloherpesviridae),Animal,5,,,49
Macavirus,Animal,5,Mammals,,47
Gammapapillomavirus,Animal,5,Humans,"Papillomaviruses can cause warts and papillomas in their host, often at specific sites of the body.",46
Mastadenovirus,Animal,4,"Mammals, including humans",,53
Lymphocystivirus,Animal,4,Fish,,52
Influenzavirus A,Animal,4,Birds and humans,Influenza A is the type of flu virus that is usually responsible for larger epidemis. Its natural hosts are usuall birds.,51
Alphapapillomavirus,Animal,4,Humans,Some viruses within this species group are the HPV variants which are associated with a higher risk of cervical cancer.,50
unclassified (derived from Papillomaviridae),Animal,3,,,55
Rhadinovirus,Animal,2,Humans and mammals,,58
Mupapillomavirus,Animal,2,Humans,,57
Betabaculovirus,Animal,2,"Winged insects, moth larva, mosquitoes, shrimp",,56
Varicellovirus,Animal,1,Humans and mammals,The Varicellovirus contains the virus species which casues chickenpox.,70
unclassified (derived from Retroviridae),Animal,1,,,69
Rhopapillomavirus,Animal,1,,,67
Phipapillomavirus,Animal,1,,,66
Orthopoxvirus,Animal,1,The most famous orthopoxvirus is smallpox (which has been eradicated from humans!),,65
Lambdapapillomavirus,Animal,1,Animals,,63
Kappapapillomavirus,Animal,1,Rabbits,,62
Cyprinivirus,Animal,1,Fish and eels,,61
Chlorovirus,Plant,97,Algae,,24
Prasinovirus,Plant,5,Algae,,48
unclassified (derived from Phycodnaviridae),Plant,4,,,54
unclassified (derived from Viruses),Unknown,5405,,,2
Mimivirus,Other Eukaryote,107,Amoebas,Mimivirus is the third-largest virus we know of,23
unclassified (derived from Marseillevirus family),Other Eukaryote,2,,,59
